Unnamed: 0.1,Unnamed: 0,pid,modality,method,embedding_size,accuracy,train_type
157.0,157.0,13,visual,autoencoder,128,0.9125,
158.0,158.0,19,visual,autoencoder,128,0.95,
159.0,159.0,28,visual,autoencoder,128,0.825,
160.0,160.0,37,visual,contrastive+VAE,128,0.875,
161.0,161.0,31,visual,contrastive+VAE,128,0.8625,
162.0,162.0,25,visual,contrastive+VAE,128,0.7375,
163.0,163.0,16,visual,contrastive+VAE,128,0.7916666626930237,
164.0,164.0,22,visual,contrastive+VAE,128,0.6958333373069763,
165.0,165.0,34,visual,contrastive+VAE,128,0.5625,
166.0,166.0,4,visual,contrastive+VAE,128,0.8875,
167.0,167.0,1,visual,contrastive+VAE,128,0.9,
168.0,168.0,40,visual,contrastive+VAE,128,0.875,
169.0,169.0,10,visual,contrastive+VAE,128,0.8,
170.0,170.0,7,visual,contrastive+VAE,128,0.8125,
171.0,171.0,13,visual,contrastive+VAE,128,0.9166666626930235,
172.0,172.0,19,visual,contrastive+VAE,128,0.8041666626930237,
173.0,173.0,28,visual,contrastive+VAE,128,0.825,
174.0,174.0,20,auditory,VAE,128,0.8375,
175.0,175.0,11,auditory,VAE,128,0.7833333373069763,
176.0,176.0,2,auditory,VAE,128,0.7166666626930237,
177.0,177.0,8,auditory,VAE,128,0.7375,
178.0,178.0,5,auditory,VAE,128,0.75,
179.0,179.0,35,auditory,VAE,128,0.7125,
180.0,180.0,17,auditory,VAE,128,0.7541666626930237,
181.0,181.0,26,auditory,VAE,128,0.8208333373069763,
182.0,182.0,23,auditory,VAE,128,0.7083333373069763,
183.0,183.0,14,auditory,VAE,128,0.7625,
184.0,184.0,38,auditory,VAE,128,0.7416666626930237,
185.0,185.0,32,auditory,VAE,128,0.7666666626930236,
186.0,186.0,29,auditory,VAE,128,0.85,
187.0,187.0,20,auditory,contrastive+autoencoder,128,0.9625,
188.0,188.0,11,auditory,contrastive+autoencoder,128,0.9125,
189.0,189.0,2,auditory,contrastive+autoencoder,128,0.9875,
190.0,190.0,8,auditory,contrastive+autoencoder,128,0.975,
191.0,191.0,5,auditory,contrastive+autoencoder,128,0.9625,
192.0,192.0,35,auditory,contrastive+autoencoder,128,0.9625,
193.0,193.0,17,auditory,contrastive+autoencoder,128,0.9875,
194.0,194.0,26,auditory,contrastive+autoencoder,128,0.95,
195.0,195.0,23,auditory,contrastive+autoencoder,128,0.9875,
196.0,196.0,14,auditory,contrastive+autoencoder,128,0.9291666626930236,
197.0,197.0,38,auditory,contrastive+autoencoder,128,0.8875,
198.0,198.0,32,auditory,contrastive+autoencoder,128,0.9,
199.0,199.0,29,auditory,contrastive+autoencoder,128,0.9375,
200.0,200.0,37,visual,random,128,0.8625,
201.0,201.0,31,visual,random,128,0.6916666626930237,
202.0,202.0,25,visual,random,128,0.7625,
203.0,203.0,16,visual,random,128,0.825,
204.0,204.0,22,visual,random,128,0.8,
205.0,205.0,34,visual,random,128,0.7958333373069764,
206.0,206.0,4,visual,random,128,0.925,
207.0,207.0,1,visual,random,128,0.8875,
208.0,208.0,40,visual,random,128,0.8,
209.0,209.0,10,visual,random,128,0.7791666626930237,
210.0,210.0,7,visual,random,128,0.8416666626930237,
211.0,211.0,13,visual,random,128,0.8458333373069763,
212.0,212.0,19,visual,random,128,0.8875,
213.0,213.0,28,visual,random,128,0.775,
214.0,214.0,20,auditory,contrastive+VAE,128,0.6625,
215.0,215.0,11,auditory,contrastive+VAE,128,0.8875,
216.0,216.0,2,auditory,contrastive+VAE,128,0.6333333373069763,
217.0,217.0,8,auditory,contrastive+VAE,128,0.55,
218.0,218.0,5,auditory,contrastive+VAE,128,0.6416666626930236,
219.0,219.0,35,auditory,contrastive+VAE,128,0.875,
220.0,220.0,17,auditory,contrastive+VAE,128,0.8875,
221.0,221.0,26,auditory,contrastive+VAE,128,0.8625,
